l1_r,l2_r,recovery,h_emp,l1,l2
173.64163907244549,0.09857959500097598,1,1.4002096020981798,2.51790453978348,0.0014294613383568455
182.75435691836364,0.09857959500097598,1,1.3853624379421239,2.650044237131248,0.0014294613383568455
191.86707476428182,0.09857959500097598,1,1.372591660781174,2.782183934479016,0.0014294613383568455
200.9797926102,0.09857959500097598,1,1.3615319980552603,2.914323631826784,0.0014294613383568455
210.0925104561182,0.09857959500097598,1,1.3518939053152519,3.0464633291745518,0.0014294613383568455
219.20522830203635,0.09857959500097598,1,1.3434458000560237,3.1786030265223197,0.0014294613383568455
228.31794614795456,0.09857959500097598,1,1.3360008848297351,3.310742723870088,0.0014294613383568455
237.43066399387274,0.09857959500097598,1,1.3294072793926106,3.442882421217856,0.0014294613383568455
246.54338183979092,0.09857959500097598,0,1.3235405619224128,3.575022118565624,0.0014294613383568455
255.65609968570908,0.09857959500097598,0,1.318298080585095,3.707161815913392,0.0014294613383568455
264.7688175316273,0.09857959500097598,0,1.3135945779153966,3.83930151326116,0.0014294613383568455
273.88153537754545,0.09857959500097598,0,1.3093587972943728,3.9714412106089285,0.0014294613383568455
282.9942532234636,0.09857959500097598,0,1.305530830363569,4.103580907956696,0.0014294613383568455
292.1069710693818,0.09857959500097598,0,1.3020600280105963,4.235720605304464,0.0014294613383568455
301.2196889153,0.09857959500097598,0,1.298903343392659,4.3678603026522325,0.0014294613383568455
310.3324067612181,0.09857959500097598,0,1.2960240086659194,4.5,0.0014294613383568455
0.5,0.14091571980477074,0,252.89807010014215,0.007250290175886264,0.0020433597178569417
9.612717845918182,0.14091571980477074,1,13.195091816007617,0.13938998752365434,0.0020433597178569417
18.725435691836363,0.14091571980477074,1,6.832583367401089,0.27152968487142237,0.0020433597178569417
27.838153537754543,0.14091571980477074,1,4.6615417531289225,0.4036693822191904,0.0020433597178569417
36.95087138367273,0.14091571980477074,1,3.581338410313393,0.5358090795669586,0.0020433597178569417
46.06358922959091,0.14091571980477074,1,2.9448744291744595,0.6679487769147266,0.0020433597178569417
55.17630707550909,0.14091571980477074,1,2.5323823436400326,0.8000884742624946,0.0020433597178569417
64.28902492142727,0.14091571980477074,1,2.248476897927356,0.9322281716102627,0.0020433597178569417
73.40174276734545,0.14091571980477074,1,2.0449057028453272,1.0643678689580307,0.0020433597178569417
82.51446061326362,0.14091571980477074,1,1.8945296443861612,1.1965075663057987,0.0020433597178569417
91.62717845918182,0.14091571980477074,1,1.7808636334633992,1.328647263653567,0.0020433597178569417
100.73989630509999,0.14091571980477074,1,1.69331100655698,1.4607869610013349,0.0020433597178569417
109.85261415101817,0.14091571980477074,1,1.624770691830466,1.5929266583491029,0.0020433597178569417
118.96533199693636,0.14091571980477074,1,1.570335211541501,1.725066355696871,0.0020433597178569417
128.07804984285454,0.14091571980477074,1,1.5265327364636858,1.857206053044639,0.0020433597178569417
137.19076768877272,0.14091571980477074,1,1.4908609245407436,1.9893457503924072,0.0020433597178569417
146.3034855346909,0.14091571980477074,1,1.4614877437307994,2.1214854477401754,0.0020433597178569417
