Bound Tightness Summary (Median [Min, Max])
Gaussian        | n=200 d=1000 s=10 | H2 U/E: 1.0002032372367138 [1.0001614724102752, 1.0003434612592619] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0003289999764673 [0.9999999999999994, 1.0007539535120864]
Spiked_rho0.5   | n=200 d=1000 s=10 | H2 U/E: 1.000452516970081 [1.0003174587040158, 1.0007841842342529] | Hinf U/E: 1.0             [0.9999999999999996, 1.0000000000000002] | H1 U/E: 1.0003397909509992 [0.999999999999999, 1.00098183141021]
Spiked_rho0.8   | n=200 d=1000 s=10 | H2 U/E: 1.0026069629908738 [1.001181346273091, 1.0043750755485819] | Hinf U/E: 1.0000000000000002 [0.9999999999999982, 1.000000000000001] | H1 U/E: 1.0010878804972458 [0.9999999999999979, 1.0031407202115326]
Gaussian        | n=200 d=1000 s=20 | H2 U/E: 1.000240843886878 [1.0001935005441793, 1.0004445231202759] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0003080620842937 [0.9999999999999994, 1.0013057604954532]
Spiked_rho0.5   | n=200 d=1000 s=20 | H2 U/E: 1.0013686613159059 [1.000969848332946, 1.0018899215492219] | Hinf U/E: 1.0             [0.9999999999999996, 1.0000000000000007] | H1 U/E: 1.0009992480282084 [1.0000000000000002, 1.0021942421151868]
Spiked_rho0.8   | n=200 d=1000 s=20 | H2 U/E: 1.0084389205844637 [1.0057122019621918, 1.0159024659499734] | Hinf U/E: 1.0             [0.9999999999999973, 1.0000000000000018] | H1 U/E: 1.001946514611255 [0.9999999999999962, 1.0077365618430867]
Gaussian        | n=200 d=1000 s=40 | H2 U/E: 1.0003360177133136 [1.0002299196910267, 1.00056600541033] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0003379183999135 [0.9999999999999998, 1.0026667652632293]
Spiked_rho0.5   | n=200 d=1000 s=40 | H2 U/E: 1.0048177021755325 [1.003792866600848, 1.0074790863226752] | Hinf U/E: 1.0             [0.9999999999999994, 1.0000000000000007] | H1 U/E: 1.0018665614240598 [1.0001059474990304, 1.005852001521576]
Spiked_rho0.8   | n=200 d=1000 s=40 | H2 U/E: 1.0313040821802033 [1.0215438696764665, 1.0486236249584648] | Hinf U/E: 1.0000000000000002 [0.9999999999999976, 1.0000000000000053] | H1 U/E: 1.003349015920603 [0.9999999999999968, 1.0161943807656408]
Gaussian        | n=200 d=2000 s=5  | H2 U/E: 1.0000482221873903 [1.0000408546516917, 1.0000754639063418] | Hinf U/E: 1.0             [0.9999999999999998, 1.0            ] | H1 U/E: 1.0000166861411177 [0.9999999999999996, 1.0001525358201035]
Spiked_rho0.5   | n=200 d=2000 s=5  | H2 U/E: 1.0001052218168587 [1.000065818924124, 1.000146412387313] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000004] | H1 U/E: 1.0000768465330563 [0.9999999999999994, 1.0002364222544038]
Spiked_rho0.8   | n=200 d=2000 s=5  | H2 U/E: 1.0004960842745396 [1.0003491609404305, 1.000695379603499] | Hinf U/E: 1.0             [0.9999999999999994, 1.000000000000001] | H1 U/E: 1.000173483508683 [0.999999999999997, 1.000853671877727]
Gaussian        | n=200 d=2000 s=10 | H2 U/E: 1.0000570348439566 [1.000045140174892, 1.0001089460359651] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0000869313081027 [0.9999999999999997, 1.0003982371936657]
Spiked_rho0.5   | n=200 d=2000 s=10 | H2 U/E: 1.0002312873713786 [1.0001818000501537, 1.0004141581645336] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0001329151190328 [1.0            , 1.0004671028747476]
Spiked_rho0.8   | n=200 d=2000 s=10 | H2 U/E: 1.0012277209920573 [1.0008316527123071, 1.001980081865606] | Hinf U/E: 0.9999999999999999 [0.9999999999999986, 1.0000000000000018] | H1 U/E: 1.0005159190366633 [1.000000000000003, 1.0015654502044715]
Gaussian        | n=200 d=2000 s=20 | H2 U/E: 1.0000653417014305 [1.0000534541958714, 1.000113103147528] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0000726843563816 [0.9999999999999994, 1.0005198690831736]
Spiked_rho0.5   | n=200 d=2000 s=20 | H2 U/E: 1.0006507613138687 [1.000511528397608, 1.000865794939104] | Hinf U/E: 1.0             [0.9999999999999994, 1.0000000000000004] | H1 U/E: 1.000502997151115 [0.9999999999999988, 1.0013344724035138]
Spiked_rho0.8   | n=200 d=2000 s=20 | H2 U/E: 1.0037733437982843 [1.002318730482077, 1.005156037280949] | Hinf U/E: 1.0000000000000002 [0.9999999999999977, 1.0000000000000024] | H1 U/E: 1.0011025574369095 [0.9999999999999953, 1.0030997661626375]
Gaussian        | n=200 d=2000 s=40 | H2 U/E: 1.0000908743409354 [1.0000651802596987, 1.0002067442697964] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0000000000000004 [0.9999999999999994, 1.0006160402785065]
Spiked_rho0.5   | n=200 d=2000 s=40 | H2 U/E: 1.0024089571221837 [1.001561776201302, 1.0034377657900808] | Hinf U/E: 1.0             [0.9999999999999988, 1.0000000000000009] | H1 U/E: 1.0008403192728772 [0.9999999999999994, 1.0033481241469238]
Spiked_rho0.8   | n=200 d=2000 s=40 | H2 U/E: 1.01470369512965 [1.00916445025395, 1.0225982048906195] | Hinf U/E: 0.9999999999999996 [0.9999999999999953, 1.000000000000002] | H1 U/E: 1.0015934937951863 [0.9999999999999988, 1.0075442761456386]
Gaussian        | n=400 d=500  s=5  | H2 U/E: 1.0011641995744534 [1.0009788171776695, 1.0015309515513116] | Hinf U/E: 1.0             [0.9999999999999999, 1.0000000000000002] | H1 U/E: 1.0003282610536908 [0.9999999999999997, 1.001011066731229]
