Design,n,d,s,MC_Successes,H2_Upper/Exact_Median,H2_Upper/Exact_Min,H2_Upper/Exact_Max,H2_Upper/Lower_Median,H2_Upper/Lower_Min,H2_Upper/Lower_Max,H1_Upper/Exact_Median,H1_Upper/Exact_Min,H1_Upper/Exact_Max,Hinf_Upper/Exact_Median,Hinf_Upper/Exact_Min,Hinf_Upper/Exact_Max
Gaussian,400,500,10,30,1.0013156687645322,1.0010570935821133,1.0017822438539021,1.2594377263213687,1.234978988736041,1.2887105275553707,1.0006638937851542,0.9999999999999998,1.002247700928036,1.0,0.9999999999999998,1.0
Spiked_rho0.5,400,500,10,30,1.0007361605667668,1.0006204624369612,1.0010100618900954,1.0126610125141173,1.0120002654976392,1.0134891777847415,1.0005139811180488,0.9999999999999994,1.001487655913647,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,400,500,10,30,1.0041141231726656,1.003402414647401,1.005331236188491,1.014499741585724,1.0139368120126513,1.015820704951397,1.0016999002275362,0.9999999999999944,1.0060942320359492,1.0,0.999999999999999,1.0000000000000009
Gaussian,400,500,20,30,1.001569534008011,1.001299283425073,1.0017962552595663,1.2216372329219527,1.1936544107805325,1.2423802633245589,1.0010590307857055,0.9999999999999998,1.0034709149205532,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.5,400,500,20,30,1.0018871323070062,1.0015122033447188,1.0023752426235697,1.0234750238883292,1.02221834205906,1.024720376039137,1.0011040193122733,1.0000000000000004,1.0038029394086028,1.0,0.9999999999999994,1.0000000000000007
Spiked_rho0.8,400,500,20,30,1.0118259693382716,1.008275629284498,1.014115406622566,1.0324630995662338,1.028732605971426,1.0350353527324216,1.0041607752329016,1.000000000000003,1.0090241580215218,1.0,0.9999999999999968,1.0000000000000022
Gaussian,400,500,40,30,1.0021035980685795,1.0013521226746442,1.0029239571884434,1.177481208280494,1.1454037335456602,1.1887913648967252,1.0018185716326375,0.9999999999999992,1.0056868160204233,1.0,0.9999999999999998,1.0
Spiked_rho0.5,400,500,40,30,1.0054774303702834,1.004483912444489,1.0064531178618796,1.045177147373595,1.0431171539292015,1.0478747544462848,1.00536596604862,1.0000000000000002,1.0128754529201645,1.0,0.9999999999999993,1.0000000000000018
Spiked_rho0.8,400,500,40,30,1.0342230245511745,1.0279748029760103,1.055328371987361,1.0757247933434833,1.068513838699003,1.0978962122145721,1.0090163650141752,1.0000000000000038,1.0189074647694105,1.0,0.9999999999999961,1.000000000000005
Gaussian,400,1000,5,30,1.0004674818713646,1.00037857035467,1.0006290398937079,1.1590571902989582,1.1468588950421887,1.1723233343222534,1.0001316992493923,0.9999999999999999,1.000592916313405,1.0,0.9999999999999999,1.0000000000000002
Spiked_rho0.5,400,1000,5,30,1.000175571453939,1.0001373173772725,1.0002289632910852,1.0037365412946146,1.0035393467272233,1.0041489528465704,1.00004634686743,0.9999999999999998,1.0003933509480984,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,400,1000,5,30,1.0009361669266372,1.0007241843011738,1.0012017244024154,1.0036737186579696,1.0034676433518706,1.0039513518771377,1.000206368895886,0.9999999999999983,1.000856935125342,1.0,0.9999999999999993,1.0000000000000004
