lambda1,lambda2,exact_recovery,TP,FP,FN,conditional_bias,iterations,lambda1_ratio,lambda2_ratio
0.42097566184417806,0.0013738237958832624,1,10,0,0,0.22264123692566354,5000,10.08248245387024,0.03290345635665152
0.4781326724115475,0.0013738237958832624,1,10,0,0,0.25305060802805707,5000,11.451408518708844,0.03290345635665152
0.5352896829789169,0.0013738237958832624,1,10,0,0,0.2834599791304506,5000,12.82033458354745,0.03290345635665152
0.5924466935462863,0.0013738237958832624,1,10,0,0,0.31386935023284424,5000,14.189260648386055,0.03290345635665152
0.6496037041136558,0.0013738237958832624,1,10,0,0,0.3442787213352378,5000,15.558186713224659,0.03290345635665152
0.7067607146810252,0.0013738237958832624,1,10,0,0,0.37468809243763135,5000,16.927112778063265,0.03290345635665152
0.7639177252483946,0.0013738237958832624,1,10,0,0,0.4050974635400249,5000,18.296038842901872,0.03290345635665152
0.8210747358157641,0.0013738237958832624,1,10,0,0,0.43550683464241857,5000,19.664964907740476,0.03290345635665152
0.8782317463831335,0.0013738237958832624,1,10,0,0,0.4659162057448124,5000,21.033890972579083,0.03290345635665152
0.9353887569505029,0.0013738237958832624,1,10,0,0,0.49632557684720585,5000,22.402817037417687,0.03290345635665152
0.9925457675178724,0.0013738237958832624,1,10,0,0,0.5267349479495996,5000,23.771743102256295,0.03290345635665152
1.049702778085242,0.0013738237958832624,1,10,0,0,0.5571443190519932,5000,25.140669167094902,0.03290345635665152
1.1068597886526115,0.0013738237958832624,1,10,0,0,0.5875536901543867,5000,26.50959523193351,0.03290345635665152
1.1640167992199808,0.0013738237958832624,1,10,0,0,0.6179630612567804,5000,27.878521296772114,0.03290345635665152
1.2211738097873501,0.0013738237958832624,1,10,0,0,0.648372432359174,5000,29.247447361610714,0.03290345635665152
1.2783308203547197,0.0013738237958832624,1,10,0,0,0.6787818034615677,5000,30.616373426449325,0.03290345635665152
1.3354878309220892,0.0013738237958832624,1,10,0,0,0.7091911745639615,5000,31.985299491287932,0.03290345635665152
1.3926448414894586,0.0013738237958832624,1,10,0,0,0.7396005456663548,5000,33.354225556126536,0.03290345635665152
1.4498018520568279,0.0013738237958832624,1,10,0,0,0.7700099167687483,5000,34.72315162096514,0.03290345635665152
1.5069588626241974,0.0013738237958832624,1,10,0,0,0.8004192878711421,5000,36.092077685803744,0.03290345635665152
1.564115873191567,0.0013738237958832624,0,9,0,1,0.8113157114269048,5000,37.461003750642355,0.03290345635665152
1.6212728837589363,0.0013738237958832624,0,8,0,2,0.8175922035656624,5000,38.82992981548096,0.03290345635665152
1.6784298943263056,0.0013738237958832624,0,7,0,3,0.8233906656137104,5000,40.19885588031956,0.03290345635665152
1.7355869048936752,0.0013738237958832624,0,6,0,4,0.8256205474520004,5000,41.56778194515817,0.03290345635665152
1.7927439154610447,0.0013738237958832624,0,6,0,4,0.8539849748640552,5000,42.93670800999678,0.03290345635665152
1.849900926028414,0.0013738237958832624,0,6,0,4,0.8823494022761103,5000,44.30563407483538,0.03290345635665152
1.9070579365957834,0.0013738237958832624,0,5,0,5,0.8863191621158204,5000,45.67456013967398,0.03290345635665152
1.964214947163153,0.0013738237958832624,0,4,0,6,0.8889573578075223,5000,47.04348620451259,0.03290345635665152
2.0213719577305223,0.0013738237958832624,0,3,0,7,0.884153556972121,5000,48.412412269351194,0.03290345635665152
2.0785289682978916,0.0013738237958832624,0,2,0,8,0.8702844597706697,5000,49.7813383341898,0.03290345635665152
2.135685978865261,0.0013738237958832624,0,1,0,9,0.787492801690401,5000,51.1502643990284,0.03290345635665152
2.1928429894326307,0.0013738237958832624,0,1,0,9,0.8172520677832555,5000,52.51919046386701,0.03290345635665152
2.25,0.0013738237958832624,0,1,0,9,0.8470113338761098,5000,53.888116528705616,0.03290345635665152
0.020876587872591997,0.0018873918221350976,0,10,13,0,0.012998130968115886,5000,0.5,0.04520355130957429
0.07803359843996144,0.0018873918221350976,1,10,0,0,0.04064057030755535,5000,1.8689260648386057,0.04520355130957429
0.13519060900733088,0.0018873918221350976,1,10,0,0,0.07103505281160913,5000,3.2378521296772114,0.04520355130957429
0.1923476195747003,0.0018873918221350976,1,10,0,0,0.10142953531566298,5000,4.606778194515817,0.04520355130957429
0.24950463014206975,0.0018873918221350976,1,10,0,0,0.13182401781971642,5000,5.975704259354422,0.04520355130957429
